word,is_he
,0
ותורנו,0
פי,0
רג'ל,0
עליה,0
דין,0
לאמראהֿ,0
ועליה,0
רהאן,0
תזוג'ת,0
לאנסאן,0
וכתבת,0
לה,0
<אל>רהאן,0
(?),0
קבל,0
שנת,1
השמטה,1
פי,0
אלכתובה,0
מע,0
אלשורהֿ,0
אלתי,0
דכ'לת,0
בהא,0
וכאן,0
עאלם,0
באלרהאן,0
אנהם,0
רהאן,0
ענדהא,0
ומאתת,0
קבל,0
אלשמטה,0
וורת'הא,0
בעלהא,0
פלמא,0
ג'אזת,0
אלשמטה,0
קאל,0
אלי,0
בעלהא,0
אעטיני,0
רהאני,0
פקאל,0
מא,0
אדפעהם,0
אלא,0
באלד'י,0
עליהם,1
יורנו,1
רבי',1
הל,0
ילזם,0
דפעהם,0
בלא,0
שי,0
אם,1
לא,1
ושכרו,1
כפול,1
"מ""ה",1
ואן,0
כאן,0
לם,0
ילזם,0
אלשרע,0
ברד,0
אלרהאן,0
וכאן,0
קימתהם,0
אקל,0
הל,0
ילזם,0
אלקיאם,0
בבקיהֿ,0
אלדין,0
ושלומך,1
יגדל.,1
