word,is_he
,0
ותורנו,1
הדרתו,1
הקדושה,1
מא,0
ילזם,0
פי,0
ראובן,1
כאנת,0
לה,0
אבנהֿ,0
מזוג'הֿ,0
והי,0
תסכן,0
פי,0
דארה,0
מעה,0
ותופי,0
זוג'הא,0
וחיי,1
לרבנן,1
ולכל,1
ישראל,1
שבק,1
בגיר,0
וצאיהֿ,0
ובקית,0
אלאבנהֿ,0
פי,0
דאר,0
אביהא,0
קדר,0
כ'מס,0
סנין,0
ולהא,0
זוג',0
אולאד,0
צגאר,0
לם,0
יערפו,0
שיא,0
ותופית,0
איצ'א,0
אלאבנהֿ,0
וחיי,1
לרבנן,1
ולכל,1
ישראל,1
שבקת,0
בגיר,0
וצאיהֿ,0
ופי,0
וקת,0
ופאהֿ,0
אלאבנהֿ,0
כאן,0
ראובן,1
גאיב,0
ען,0
אלדאר,0
מסג'ון,0
ולם,0
יכ'רג',0
מן,0
אלסג'ן,0
אלא,0
<בעד>,0
וקת,0
ופאתהא,0
ובעד,0
ד'לך,0
אג'תמעוא,0
שיוך',0
מן,0
בעץ',0
אלקהל,0
באסתיד'אן,0
ראובן,1
ג'ד,0
אלאיתאם,0
וקריב,0
אבוהמא,0
ינט'רוא,0
תריכהֿ,0
אלאיתאם,0
פאכ'רג'וא,0
אלחואיג',0
אלתי,0
כאנת,0
פי,0
אלדאר,0
אלתי,0
הי,0
דאר,0
ג'דהם,0
אלתי,0
יסכנוא,0
פיהא,0
פכתבוא,0
ג'מיעהא,0
פסיל,0
ראובן,1
ג'ד,0
אלאיתאם,0
עלי,0
אלד'הב,0
אלמסבוך,0
אלעין,0
אלד'י,0
כאן,0
להא,0
פקאל,0
ללחאצ'רין,0
להא,0
ענד,0
אקואם,0
משהורין,0
כד'א,0
וכד'א,0
פכתבוא,0
אלג'מיע,0
ת'ם,0
קאל,0
ענדי,0
אנא,0
מן,0
מאל,0
בנתי,0
מאיהֿ,0
רבאעי,0
וסתין,0
רבאעי,0
ומן,0
באקי,0
חסאב,0
ארבעהֿ,0
וארבעין,0
רבאעי,0
פקאל,0
בעץ',0
מן,0
קראבהֿ,0
אלאיתאם,0
לראובן,1
ג'דהם,0
אן,0
אלארבעהֿ,0
וארבעין,0
רבאעי,0
אלד'י,0
ד'כרת,0
סבעין,0
רבאעי,0
כאנת,0
מכתובהֿ,0
עליך,0
פי,0
דפתר,0
צהרך,0
ימצא,1
רחמים,1
פאג'אב,0
נעם,0
אנא,0
אנפקת,0
מן,0
אלסבעין,0
רבאעי,0
פי,0
חיאהֿ,0
צהרי,0
סתהֿ,0
ות'לאת'ין,0
רבאעי,0
וערפתה,0
בהא,0
פבקי,0
עלי,0
ארבעהֿ,0
ות'לאת'ין,0
רבאעי,0
מנהא,0
וכאן,0
לה,0
איצ'א,0
ענדי,0
עשרהֿ,0
רבאעיאת,0
צארת,0
אלג'מלהֿ,0
ארבעהֿ,0
וארבעין,0
רבאעי,0
פסאל,0
איצ'א,0
ראובן,1
ג'ד,0
אלאיתאם,0
הל,0
בקי,0
ענדך,0
אכת'ר,0
פאג'אבת,0
בנתה,0
אלבכר,0
וקאלת,0
באן,0
אכ'תי,0
כאנת,0
אוצתני,0
אן,0
להא,0
ד'הב,0
מדפון,0
ואסתחלפתני,0
אני,0
לא,0
אט'הרה,0
ולא,0
נדפעה,0
לאחד,0
אלי,0
אן,0
יכברוא,0
אלאיתאם,0
ויצירוא,0
פי,0
חד,0
אלבלוג,0
פאלזמוהא,0
אלחאצ'רון,0
באן,0
תכ'רג',0
אלד'הב,0
וידפע,0
פי,0
יד,1
שליש,1
נאמן,1
וליס,0
להא,0
שהוד,0
בצחהֿ,0
קולהא,0
פלמא,0
כאן,0
בעד,0
ד'לך,0
נט'רוא,0
"ב""ד",1
ואלזקנים,0
פי,0
אקאמהֿ,0
וכלא,0
לליתומים,0
יטלבוא,0
להם,0
חקוקהם,0
פאקאמוא,0
להם,0
וכלא,0
פטלבוא,0
אלוכלא,0
פי,0
ג'מלהֿ,0
מן,0
טלבוא,0
ראובן,1
ג'ד,0
אלאיתאם,0
באלמאיתין,0
רבאעי,0
ואלארבעהֿ,0
אלתי,0
בהא,0
אקר,0
פקאל,0
נעם,0
אנא,0
אקרת,0
בהא,0
גיר,0
אן,0
בנתי,0
אוהבתני,0
מאיהֿ,0
רבאעי,0
פי,0
חיאתהא,0
תעינני,0
בהא,0
קאלוא,0
לה,0
אלוכלא,0
מא,0
כאן,0
מן,0
הד'א,0
שיא,0
וחג'תהם,0
עליה,0
קאלוא,0
לה,0
למא,0
סאלנאך,0
אולא,0
וקלת,0
וקד,0
כתבת,0
אלחואיג',0
ואלד'הב,0
לם,0
תד'כר,0
לנא,0
שיא,0
מן,0
ד'לך,0
קאל,0
אנא,0
מא,0
טולבת,0
חיניד',0
באלמאל,0
אן,0
יסתכ'רג',0
מן,0
תחת,1
ידי,1
בל,0
טולבת,0
אן,0
נכתב,0
אלתריכהֿ,0
אלתי,0
תרכת,0
בנתי,0
ואלאן,0
למא,0
טולבת,0
פי,0
בית,1
דין,1
ד'כרת,0
אלמאיהֿ,0
רבאעי,0
אלד'י,0
אוהבתני,0
בנתי,0
פטלב,0
איצ'א,0
ראובן,1
ג'ד,0
אלאיתאם,0
בסואר,0
ד'הב,0
בלגהם,0
אן,0
כאן,0
מע,0
ג'מלהֿ,0
חלי,0
אלמתופיהֿ,0
פקאל,0
נעם,0
אלסואר,0
כאן,0
ודיעהֿ,0
מע,0
חואיג',0
אכ'ר,0
ענד,0
בנתי,0
והו,0
מתאעי,0
מא,0
לאחד,0
פיהא,0
שי,0
פקאלוא,0
לה,0
אלוכלא,0
בלגנא,0
אנה,0
כאן,0
אולא,0
רהן,0
פי,0
ת'מן,0
מנארהֿ,0
כנת,0
כתבתהא,0
לבנתך,0
פי,0
שורתהא,0
וקת,0
זפאפהא,0
וכמל,0
לך,0
צהרך,0
עלי,0
ת'מן,0
אלמנארהֿ,0
באקי,0
ת'מנהא,0
פקאל,0
להם,0
מא,0
כאן,0
מן,0
הד'א,0
שיא,0
ומא,0
ת'ם,0
שהוד,0
בד'לך,0
ת'ם,0
בעד,0
ופאהֿ,0
אלאבנהֿ,0
אכ'רג',0
ראובן,1
נפאקהֿ,0
עלי,0
כפן,0
ומא,0
לזם,0
אלמתופיהֿ,0
מן,0
נפאקתהא,0
וואג'בהא,0
ונפאקהֿ,0
עלי,0
אלאיתאם,0
קדר,0
שהר,0
ונצף,0
פטלבוא,0
אל,0
וכלא,0
מן,0
ראובן,1
ימינא,0
עלי,0
ד'לך,0
פקאל,0
להם,0
ראובן,1
אנא,0
נט'הר,0
לכם,0
אלנפאקהֿ,0
ומא,0
ילזמני,0
עלי,0
ד'לך,0
ימין,0
וקד,0
אנד'ר,0
פי,0
בית,1
הכנסת,1
בעמל,0
חרם,1
גדול,1
עלי,0
כל,1
בר,1
ישראל,1
ובת,1
ישראל,1
יסתחקוא,0
קבלה,0
אלאיתאם,0
שיא,0
ולא,0
יקר,0
בה,0
פקאל,0
ראובן,1
אנא,0
יקנעני,0
אנדכ'אלי,0
פי,0
אלחרם,0
מע,0
ג'מלהֿ,0
אלג'מאעהֿ,0
לאנני,0
כמשיב,1
אבדה,1
פאג'אבוא,0
אלוכלא,0
מא,0
ג'עלך,0
אן,0
תעתרף,0
אלא,0
כ'שיתך,0
מן,0
אלחרם,0
יורנו,1
רבי<'>,1
מא,0
ילזם,0
פי,0
ד'לך,0
ג'מיעה,0
ושכרו,1
כפול,1
"מ""ה.",1
