word,is_he
,0
אלמסאלה,0
אלראבעה.,0
מא,0
מעני,0
קול,0
אלחכמים,0
"ז""ל",1
הגלדה,1
טפה,1
האמצעית,1
ונעשת,1
רקיע.,1
אלג'ואב.,0
אעלם,0
אן,0
הד'א,0
אלמעני,0
סוד,1
מן,0
ג'מלהֿ,0
אלסודות,0
ולא,0
יג'וז,0
וצ'עה,0
פי,0
"כתאב,",0
ולא,0
איצ'א,0
נעלמה,0
עלי,0
"חקיקתה,",0
לכן,0
נרמז,1
פיה,0
חסב,0
אלמקדרה.,0
וד'לך,0
אן,0
אלטביעיון,0
קאלו,0
אן,0
אלמבדע,0
אלאול,0
הו,0
"אלמא,",0
קאלו,0
אלמא,0
קאבל,0
לכל,0
צורה,0
והו,0
עלה,0
כל,0
מרכב,0
מן,0
אלענצר,0
"אלג'סמאני,",0
פמן,0
אנחלאלה,0
תכוון,0
"אלהוי,",0
ומן,0
ג'מודה,0
ואנחלאלה,0
אלי,0
צורה,0
אכ'רי,0
גיר,0
אלצורה,0
אלאולי,0
תכוון,0
אלרקיע.,0
והד'ה,0
אללפט'ה,0
משתקה,0
מן,0
קולה,0
כעין,1
גליד,1
"חסין,",1
ופי,0
הד'א,0
אלמעני,0
קאל,0
ר',1
עקיבה,1
לחבריו,1
כשאתם,1
מגיעים,1
אצל,1
אבני,1
שיש,1
טהור,1
אל,1
תאמרו,1
מים,1
מים,1
שכן,1
כתיב,1
דובר,1
שקרים,1
לא,1
יכון,1
לנגד,1
"עיני,",1
יעני,0
אן,0
מעני,0
אבני,1
שיש,1
אי,0
תלך,0
אלתי,0
קד,0
אנפצלת,0
לשפאפתהא,0
או,0
קרבהא,0
מן,0
"אלמחיט,",0
ולד'לך,0
כאנת,0
חרכתהא,0
אלי,0
פוק,0
אלי,0
מא,0
ילי,0
אלמחיט.,0
פאפהם,0
ד'לך.,0
