word,is_he
אלג'ואב,0
קד,0
עלמתם,0
אן,0
אלאצל,0
פי,0
ד'לך,0
כלה,0
הל,0
יש,1
קנין,1
לגוי,1
בארץ,1
ישראל,1
להפקיע,1
מן,1
המעשרות,1
אם,1
אין,1
לו,1
קנין,1
ואן,0
ולו,0
אלד'י,0
יקול,0
יש,1
קנין,1
לגוי,1
בארץ,1
ישראל,1
להפקיע,1
מן,1
המעשרות,1
ירא,0
אנה,0
מדרבנן,0
כמא,0
תבין,0
פי,0
גטין,1
פאד'א,0
לדברי,1
הכל,1
ילזם,0
אכ'ראג',0
אלמעשרות,0
בארץ,1
ישראל,1
ואנמא,0
אכ'תלאפהם,0
הל,0
ד'לך,0
מדרבנן,1
או,1
מדאוריתא,1
ולמא,0
תבין,0
לנא,0
פי,0
גמר,0
יבמות,1
וכתובות,1
אן,0
תרומה,1
בזמן,1
הזה,1
מדרבנן,1
כמא,0
באן,0
הנאך,0
פי,0
כי,1
תבואו,1
ביאת,1
כלכם,1
ולא,1
ביאת,1
מקצתכם,1
צח,0
לנא,0
אן,0
כד'לך,0
אלמעשרות,0
איצ'א,0
בזמן,1
הזה,1
דרבנן,1
וראינא,0
אנה,0
לא,0
יודי,0
הד'א,0
אלאכ'תלאף,0
פי,0
זמאננא,0
הד'א,0
לעמל,0
אעני,0
יש,1
קנין,1
לגוי,1
או,1
אין,1
קנין,1
לגוי,1
ולד'לך,0
את'בתנא,0
פי,0
תפסיר,0
אלמשנה,0
אנהא,0
דרבנן,1
וג'נחנא,0
למד'הב,0
אלחכמים,0
אלד'י,0
יקולון,0
יש,1
קנין,1
לגוי,1
כמא,0
תבין,0
פי,0
מואצ'ע,0
עדהֿ,0
מן,0
אלירושלמי,0
ואד'א,0
צח,0
אלנט'ר,0
ותחרי,0
מא,0
ילזם,0
דאימא,0
פי,0
כל,0
זמאן,0
יבין,0
אן,0
אלהלכה,0
אין,1
קנין,1
לגוי,1
בארץ,1
ישראל,1
להפקיע,1
מן,1
המעשרות,1
כמא,0
יבדו,0
מן,0
בכורות,0
ומע,0
ד'לך,0
פאן,0
אלמעשרות,0
בזמן,1
הזה,1
דרבנן,1
מן,0
אלוג'ה,0
אלד'י,0
ד'כר,0
פי,0
יבמות,1
ולו,0
אלשי,0
אלד'י,0
ינבת,0
פי,0
שדה,1
ישראל,1
היום,1
מעשרותיו,1
דרבנן,1
והד'א,0
אלאצל,0
אגפלה,0
ר',1
יוסף,1
בן,1
פלאת,1
"זצ""ל",1
פי,0
תלך,0
אלכראריס,0
אלתי,0
וג'התם,0
לנא,0
ולד'לך,0
תראה,0
יכת'ר,0
בקו',0
חייב,1
מדאוריתא,1
וחייב,1
מדרבנן,1
וד'לך,0
כלה,0
אנמא,0
הו,0
פקה,0
עלי,0
אצול,0
אלאחכאם,0
פי,0
כל,0
זמאן,0
לא,0
פי,0
זמאננא,0
הד'א,0
וקד,0
עלמתם,0
איצ'א,0
אן,0
יש,1
קנין,1
לגוי,1
בסוריא,1
להפקיע,1
מן,1
המעשרות,1
כמא,0
תבין,0
פי,0
מסכת,1
חלה,1
והו,0
קולהם,0
ישראל,1
שהיו,1
אריסין,1
לגוים,1
בסוריא,1
ר',1
אליעזר,1
מחייב,1
פירותיהן,1
במעשרות,1
ובשביעית,1
ורבן,1
גמליאל,1
וכו',1
עד,1
חזרו,1
לנהוג,1
כדברי,1
"ר""ג",1
ולא,0
פרק,0
בין,1
אריס,1
מגוי,1
או,1
חוכר,1
או,1
מקבל,1
פירותיו,1
פטורין,1
מכלום,1
כמא,0
תבין,0
פי,0
גטין,1
פי,0
קולהם,0
אבל,1
האריסין,1
והחכירין,1
ואריסי,1
בתי,1
אבות,1
וגוי,1
ממשכן,1
שדהו,1
לישראל,1
"אע""פ",1
שעשה,1
לו,1
נימוסי,1
פטורה,1
מן,1
המעשרות,1
ומן,1
השביעית,1
אד',0
והד'ין,0
אלאצלין,0
ת'אבתהֿ,0
פחכם,0
אלטבל,0
אלמשתרי,0
מן,0
גוים,1
אד'א,0
כאן,0
פי,0
ארץ,1
ישראל,1
וכאן,0
אלגוי,0
הו,0
אלד'י,0
מרח,0
ד'לך,0
אלטבל,0
וביד,1
הגוי,1
נגמר,1
פהו,0
פטור,1
מכלום,1
כמא,0
תבין,0
פי,0
בכורות,1
דגנך,1
ולא,1
דגן,1
גוי,1
ואן,0
כאן,0
ישראל,1
הו,0
אלד'י,0
מרח,0
