word,is_he
מסאלהֿ,0
תתצ'מן,0
מענאיין,0
ותורנו,0
מא,0
ד'כרתה,0
הדרתה,0
פי,0
אלפרק,0
אלכ'אמס,0
מן,0
הלכות,1
תלמוד,1
תורה,1
פי,0
אלתאדב,0
מע,0
אלרב,0
ולא,1
יכריע,1
דבריו,1
כיף,0
צורהֿ,0
ד'לך.,0
ואיצ'א,0
מא,0
ד'כרתה,0
הדרתה,0
פי,0
אלפרק,0
אלסאבע,0
מן,0
אלהלכה,0
בנפסהא,0
ואפי',1
נדה,1
עצמו,1
על,1
דעת,1
כיף,0
צורהֿ,0
ד'לך.,0
ואיצ'א,0
מא,0
ד'כרתה,0
הדרתה,0
פי,0
אלפרק,0
אלת'אני,0
מן,0
הלכות,1
"ע""ז",1
וכן,1
המינין,1
מישראל,1
אינן,1
כישראל,1
לדבר,1
מן,1
הדברים,1
ואין,1
מקבלין,1
אותן,1
בתשובה,1
לעולם,1
וד'כרת,0
הדרתה,0
פי,0
אלפרק,0
אלת'אלת',0
מן,0
הלכות,1
תשובה,1
"בד""א",1
שכל,1
אחד,1
מאלו,1
אין,1
לו,1
חלק,1
לעולם,1
הבא,1
כשמת,1
בלא,1
תשובה,1
אבל,1
אם,1
שב,1
מרשעו,1
והוא,1
בעל,1
תשובה,1
הרי,1
זה,1
מבני,1
העולם,1
הבא,1
שאין,1
לך,1
דבר,1
שעומד,1
בפני,1
התשובה,1
פצעב,0
אלד'י,0
קיל,0
פי,0
אלמינים,0
אין,1
מקבלין,1
אותן,1
בתשובה,1
לעולם,1
וקד,0
קיל,0
פי,0
אכ'ר,0
אלפרק,0
ען,0
מן,0
שב,0
מן,0
אלג'מיע,0
מקבלין,0
אותו,0
תורנו,1
הדרתו,1
הקדושה,1
המקו',1
יאיר,1
עינינו,1
במאור,1
תורתה,1
אמן,1
