word,is_he
ת'ם,0
נט'רת,0
פי,0
מא,0
חמלתה,0
אלאת'אר,0
פאד'א,0
פיה,0
מת'ל,0
הד'א,0
אנה,0
כל,0
מן,0
לא,0
יעתקד,0
אחיא,0
אלמותי,0
פי,0
דאר,0
אלדניא,0
פגיר,0
מחשור,0
פי,0
ג'מלהֿ,0
אלאמה,0
פי,0
וקת,0
"אלישועה,",0
וד'אך,0
קולהם,0
הוא,1
כופר,1
בתחית,1
המתים,1
לפיכך,1
אין,1
לו,1
חלק,1
בו,1
שכל,1
מדותיו,1
של,1
"הב""ה",1
מדה,1
כנגד,1
מדה,1
שנ',1
ויען,1
השליש,1
אשר,1
למלך,1
נשען,1
על,1
ידו,1
את,1
איש,1
האלהים,1
ויאמר,1
הנה,1
ה',1
עושה,1
ארבות,1
בשמים,1
היהיה,1
כדבר,1
הזה,1
ויאמר,1
הנך,1
רואה,1
בעיניך,1
ומשם,1
לא,1
תאכל.,1
וג'א,0
פי,0
אלאת'אר,0
איצ'א,0
פי,0
תפסיר,0
והקמנו,1
עליו,1
שבעה,1
רעים,1
ושמנה,1
נסיכי,1
אדם,1
אן,0
אלשבעה,0
דוד,1
באמצע,1
אדם,1
שת,1
מתושלח,1
מימינו,1
אברהם,1
יעקב,1
משה,1
"משמאלו,",1
ואן,0
אלשמונה,0
נסיכים,0
ישי,1
שאול,1
שמואל,1
עמוס,1
צפניה,1
חזקיהו,1
אליהו,1
ומשיח.,1
וחמלת,0
אלאת'אר,0
אן,0
אלמותי,0
אד'א,0
אחיאהם,0
כ'אלקהם,0
יעיד,0
אלת'יאב,0
"עליהם,",0
וליס,0
ד'לך,0
באעט'ם,0
מן,0
רד,0
אלמותי,0
"אנפסהם,",0
ואן,0
הד'א,0
אלכ'בר,0
למא,0
פשא,0
פימא,0
בין,0
אמתנא,0
באלג,0
אלנאס,0
פי,0
אכפאן,0
"מותאהם,",0
פת'קלת,0
עליהם,0
אלמוונה,0
חתי,0
חלהא,0
בעץ',0
אלעלמא,0
במא,0
סאמח,0
פי,0
כפן,0
"לה,",0
וד'לך,0
קולהם,0
בראשונה,1
היתה,1
יציאת,1
המת,1
קשה,1
על,1
בעליו,1
עד,1
שהיו,1
מניחין,1
אותו,1
ובורחין,1
עד,1
שבא,1
רבן,1
גמליאל,1
ונהג,1
קלות,1
בעצמו,1
ויצא,1
בבגדי,1
פשתן,1
המגוהצין,1
ונהגו,1
כל,1
העם,1
אחריו.,1
ובעד,0
מא,0
שרחת,0
הד'ה,0
אלאקואל,0
אקול,0
עלי,0
סביל,0
אלתקצי,0
באלנט'ר,0
פי,0
באב,0
אחיא,0
אלמותי,0
אלד'ין,0
פי,0
וקת,0
אלישועה,0
ואלד'ין,0
פי,0
דאר,0
אלאכ'רה,0
ג'מיעא.,0
לעל,0
מתפכרא,0
יתפכר,0
"פיקול,",0
אד'א,0
כאנת,0
אלטבקה,0
אלאולי,0
מן,0
אלנאס,0
למא,0
תופית,0
תחללת,0
ענאצרהא,0
פצאר,0
כל,0
ג'ז,0
מנהא,0
אלי,0
"מעדנה,",0
אעני,0
לחקת,0
אלחרארה,0
באלנאר,0
"פכ'אלטתהא,",0
ואלרטובה,0
"באלהוא,",0
ואלברודה,0
"באלמא,",0
ואליבוסה,0
בקית,0
"תראבא,",0
ת'ם,0
רכב,0
אלכ'אלק,0
אג'סאם,0
אלטבקה,0
אלת'אניה,0
מן,0
אלמעאדן,0
אלתי,0
קד,0
אכ'תלטת,0
בהא,0
אג'זא,0
אלטבקה,0
"אלאולי,",0
ת'ם,0
תופית,0
אלטבקה,0
אלת'אניה,0
מן,0
אלנאס,0
ואכ'תלטת,0
אג'זאוהם,0
פי,0
מעאדן,0
אלענאצר,0
"איצ'א,",0
ת'ם,0
רכב,0
אלכ'אלק,0
מנהא,0
טבקה,0
ת'אלת'ה,0
וכאן,0
מן,0
חאלהא,0
כאלאת'נתין,0
"אלמתקדמתין,",0
וכד'לך,0
אלראבעה,0
"ואלכ'אמסה,",0
פכיף,0
יג'וז,0
אן,0
יעיד,0
אלטבקה,0
אלאולי,0
כמלא,0
ואלת'אניה,0
כמלא,0
ואלת'אלת'ה,0
כמלא,0
וקד,0
דכ'ל,0
בעץ',0
כל,0
טבקה,0
פי,0
בעץ'.,0
פאבין,0
פי,0
ד'לך,0
ביאנא,0
שאפיא,0
"ואקול,",0
אנמא,0
כאן,0
יחתאג',0
אלי,0
אסתעמאל,0
מחלולאת,0
אג'סאם,0
אלטבקה,0
אלאולי,0
פי,0
תרכיב,0
אג'סאם,0
אלת'אניה,0
לו,0
לם,0
יבק,0
פי,0
אלמוג'וד,0
אלא,0
תלך,0
אלאג'זא,0
פקט,0
פכאנת,0
תתכרר,0
אבדא.,0
מת'לא,0
"אקול,",0
כמן,0
לה,0
אניהֿ,0
פצ'ה,0
מן,0
אלף,0
דרהם,0
ליס,0
גירהא,0
כל,0
מא,0
תכסרת,0
אעאדהא,0
אלי,0
אלסבך,0
"ואלציאגה,",0
ואמא,0
מן,0
לה,0
ביות,0
מאל,0
וצ'מן,0
אן,0
כל,0
אניה,0
תנכסר,0
ירפע,0
כסורהא,0
חית',0
יעידהא,0
תלך,0
אלאניה,0
"בעינהא,",0
פהו,0
כל,0
שי,0
יצוגה,0
ג'דידא,0
יאכ'ד'ה,0
מן,0
בית,0
מאלה,0
ולא,0
יכ'לט,0
מעה,0
כסר,0
אלמנכסר,0
בל,0
יעזלהא,0
חתי,0
יעידהא,0
כמא,0
"ועד,",0
כד'לך,0
פחצת,0
פוג'דה,0
