word,is_he
,0
אלמסאלה,0
אלסאדסה,0
ואלעשרין.,0
מא,0
מעני,0
קול,0
אלחכמים,0
"ז""ל",1
אין,1
לו,1
"להקב""ה",1
בעולמו,1
חוץ,1
מארבע,1
אמות,1
של,1
הלכה.,1
אלג'ואב.,0
"אעלם,",0
אן,0
מענאה,0
אן,0
אלאנסאן,0
הו,0
צפוהֿ,0
אללה,0
תע',0
מן,0
ג'מיע,0
אלמוג'ודאת,0
"אלספליה,",0
לאן,0
אלאנסאן,0
עאלם,0
צגיר,0
ישבה,0
אלעאלם,0
"אלכביר,",0
וכאן,0
אלאנסאן,0
לה,0
ארבע,0
"אדראכאת,",0
אדראך,0
"חסי,",0
ואדראך,0
"והמי,",0
ואדראך,0
"כ'יאלי,",0
ואדראך,0
"עקלי,",0
וכאן,0
אלקצד,0
באלאנסאן,0
אלאדראך,0
אלעקלי.,0
ולמא,0
כאנת,0
אלמרכבאת,0
פי,0
אלארבע,0
אסטקצאת,0
ארבעה,0
והי,0
אלמעדן,0
ואלנבאת,0
ואלחיואן,0
"ואלאנסאן,",0
ולמא,0
כאנת,0
אלקוי,0
"ארבע,",0
והי,0
קוהֿ,0
תכוין,0
"אלמעאדן,",0
וקוהֿ,0
אלנפס,0
"אלנבאתיה,",0
וקוהֿ,0
אלנפס,0
"אלחיואניה,",0
וקוהֿ,0
אלנפס,0
אלנאטקה.,0
ואלמדרכאת,0
"ארבעה,",0
ג'סם,0
"מרכב,",0
וג'סם,0
"בסיט,",0
"ונפס,",0
ועקל.,0
ותאמל,0
קולהם,0
"אמות,",1
יעני,0
ד'לך,0
אלמקדאר,0
אלד'י,0
הו,0
"מרבע,",0
ואלגאיה,0
מנה,0
אלהלכה,0
אלד'י,0
ד'לך,0
הו,0
אלמקצוד.,0
ותאמל,0
קולהם,0
"להקב""ה,",1
לאן,0
אלוג'וד,0
מוג'וד,0
פעאל,0
במשיתה,0
תע',0
פי,0
אלעאלם,0
"אלאספל,",0
וסמאה,0
עולמו.,1
פאפהם.,0
