word,is_he
"קרחת,",1
רקעה,0
מן,0
אלארץ',0
מרבעה.,0
וקד,0
תבין,0
אן,0
אלרובע,0
ג'ז,0
מן,0
ארבעה,0
ועשרין,0
מן,0
אלסאה.,0
ובינא,0
איצ'א,0
אן,0
בית,1
סאה,1
הו,0
כ'מסון,0
ד'ראעא,0
פי,0
כ'מסון,0
"ד'ראעא,",0
פיכון,0
בית,1
רובע,1
אד'א,0
עשר,0
אד'רע,0
וכ'מס,0
פי,0
עשר,0
אד'רע,0
וכ'מס,0
באלתקריב.,0
פקאל,0
ר',1
מאיר,1
אן,0
אד'א,0
כאנת,0
הד'ה,0
אלרקאיע,0
מרבעה,0
פיג'וז,0
לה,0
אן,0
יזרע,0
נוע,0
פי,0
כל,0
"רקעה,",0
לאנהא,0
תט'הר,0
מנפצלה,0
בעצ'הא,0
ען,0
בעץ',0
"לתרביעהא,",0
ויג'וז,0
לה,0
אן,0
יזרע,0
רקעתין,0
מנהא,0
"כ'רדל,",0
אמא,0
ת'לאת',0
רקע,0
מתצלה,0
"פלא,",0
לאנהא,0
תט'הר,0
כשדה,1
"חרדל,",1
ותכון,0
תלך,0
אלאנואע,0
אלאכ'רי,0
כלאים.,1
ותכ'ציצה,0
"חרדל,",1
לאן,0
הד'א,0
אלנבאת,0
ליס,0
הו,0
מת'ל,0
אלקמח,0
ואלשעיר,0
וסאיר,0
אלקטאני,0
אלתי,0
תזרע,0
מנהא,0
אראצ'י,0
"מתסעה,",0
ואנמא,0
יזרע,0
מנהא,0
מקדאר,0
"יסיר,",0
ואכבר,0
שדה,1
חרדל,1
שלש,1
"קרחות,",1
ולד'לך,0
תציר,0
שדה,1
"חרדל,",1
ולו,0
יזרע,1
שלש,1
קרחות,1
מן,0
גיר,0
אלכ'רדל,0
למא,0
כאן,0
יט'הר,0
ד'לך,0
שדה,1
אותו,1
המין.,1
וכ'אלף,0
אלחכמים,0
עלי,0
ד'לך,0
וקאלוא,0
אנה,0
לא,0
יג'וז,0
לה,0
אן,0
יזרע,1
קרחת,1
מכל,1
מין,1
אלא,0
אן,0
תכון,0
תשע,1
קרחות,1
לבית,1
"סאה,",1
וכל,1
קרחת,1
מנהא,0
בית,1
"רובע,",1
אלתי,0
תג'י,0
בעידה,0
בעצ'הא,0
ען,0
בעץ',0
בעדא,0
"מתסאויא,",0
ויכון,0
בין,1
כל,1
קרחת,1
וקרחת,1
קריב,0
קרחת,1
אחת,1
דון,0
זראעה.,0
וביאן,0
ד'לך,0
אן,0
בית,1
סאה,1
כ'מסין,0
פי,0
"כ'מסין,",0
ובית,1
רובע,1
עשרה,0
וכ'מס,0
פי,0
עשרה,0
"וכ'מס,",0
פיבקי,0
בין,0
כל,1
קרחת,1
וקרחת,1
תסעה,0
אד'רע,0
ות'לאת'הֿ,0
אכ'מאס,0
ונצף,0
"כ'מס,",0
וד'לך,0
קריב,0
מן,0
מקדאר,0
"קרחת,",1
והד'ה,0
צורהֿ,0
ד'לך.,0
פאן,0
ג'על,0
פי,0
בית,1
סאה,1
עשר,1
קרחות,1
פלא,0
"יג'וז,",0
לאן,0
ליס,0
יג'י,0
אלבעד,0
בינהא,0
"מסתוי,",0
ותכון,0
איצ'א,0
בעצ'הא,0
קריבה,0
מן,0
"בעץ',",0
והד'א,0
הו,0
מעני,0
קולהם,0
פי,0
אלתלמוד,0
ר',1
מאיר,1
אומר,1
אפילו,1
"סמוכות,",1
ורבנן,1
סברי,1
ובלבד,1
שלא,1
יהו,1
סמוכות.,1
וקאל,0
ר',1
אליעזר,1
בן,1
יעקב,1
ולו,0
כאנת,0
ארצ'ה,0
בית,1
כור,1
לא,0
יג'וז,0
לה,0
אן,0
יג'על,0
פיהא,0
מן,0
נוע,0
אכ'ר,0
גיר,0
קרחת,1
אחת.,1
ובית,1
"כור,",1
הו,0
מת'ל,0
בית,1
סאה,1
ת'לאת'ין,0
"מרה,",0
לאן,0
כור,1
שלשים,1
"סאה,",1
פיכון,0
מסאחהֿ,0
בית,1
כור,1
כ'מסה,0
וסבעין,0
אלפא.,0
פאן,0
ג'עלתהא,0
מרבעה,0
כאן,0
פי,0
צ'לעהא,0
מאיתאן,0
ות'לאת'ה,0
וסבעין,0
וסתה,0
אסבאע,0
באלתקריב.,0
והלכה,1
כחכמים.,1
