word,is_he
,0
אלמסאלה,0
אלראבעה,0
ואלעשרין.,0
מא,0
מעני,0
קול,0
אלכתאב,0
סלו,1
לרוכב,1
בערבות,1
ביה,1
שמו.,1
אלג'ואב.,0
אעלם,0
אן,0
רכיבה,1
אסתעירת,0
לה,0
תע',0
לכונה,0
מתולי,0
עלי,0
אלמוג'ודאת,0
כלהא,0
ומדבר,0
להא,0
וממדהא,0
"אלבקא,",0
והו,0
ברי,0
מנזה,0
ענהא.,0
ואמא,0
קולה,0
סלו,1
לרוכב,1
"בערבות,",1
פיעני,0
אלתרקי,0
בתלך,0
אלמראקי,0
ואלאנתקאל,0
ואלתדריג',0
פי,0
אלמוג'ודאת,0
באלקהקרה,0
מן,0
אלמוג'ודאת,0
אלספליה,0
אלקריבהֿ,0
אלברהאן,0
בחסב,0
אדראך,0
אלנפס,0
"מדרכתהא,",0
ואנתקאלהא,0
מן,0
מעלום,0
אלי,0
"מג'הול,",0
אלי,0
אן,0
ינתהי,0
ד'לך,0
אלאדראך,0
ויבלג,0
אלי,0
אלעלה,0
"אלולי,",0
אעני,0
אדראך,0
וג'ודה,0
"תע',",0
לאן,0
תלך,0
הי,0
אלגאיה,0
"אלקצוי,",0
קאל,0
תע',0
וידעת,1
היום,1
והשבות,1
אל,1
לבבך,1
כי,1
ה',1
הוא,1
האלהים,1
בשמים,1
ממעל,1
"וכו',",1
וקאל,0
לדעת,1
את,1
ה',1
"אלהיך,",1
וקאל,0
כי,1
אם,1
בזאת,1
יתהלל,1
המתהלל,1
השכל,1
וידוע,1
אותי,1
כי,1
אני,1
ה',1
עושה,1
חסד,1
משפט,1
וצדקה,1
בארץ,1
כי,1
באלה,1
חפצתי,1
נאם,1
ה'.,1
פצח,0
אן,0
אדראך,0
וג'ודה,0
תע',0
הו,0
גאיה,0
אלעלום,0
כלהא.,0
ואמא,0
אקתראן,0
ד'לך,0
אלאסתילא,0
"בערבות,",1
פהו,0
לאן,0
ג'מיע,0
תלך,0
אלקוי,0
אלמכונה,0
ואלחארסה,0
לנט'אם,0
אלמוג'ודאת,0
כלהא,0
אעני,0
אלמואד,0
אלקאבלה,0
"ללצור,",0
לאן,0
ד'לך,0
אלמחיט,0
הו,0
אלמהיי,0
ללמואד,0
אלקאבלה,0
ללצור,0
מאת'ר,0
"פיהא,",0
מנט'ם,0
"להא,",0
ראבט,0
פיהא,0
תלך,0
"אלצור,",0
מחרך,0
ללמואד,0
בחרכה,0
אלקוי,0
אלד'י,0
פיה,0
לתכ'רג',0
מן,0
אלקוה,0
אלי,0
אלפעל,0
לתעוד,0
אלי,0
גאיתהא.,0
ואמא,0
קולה,0
ביה,1
"שמו,",1
פאעלם,0
אנמא,0
וג'דת,0
אלמוג'ודאת,0
מן,0
בעץ',0
"כמאלה,",0
והו,0
קול,0
אלחכמים,0
"ז""ל",1
בחצי,1
השם,1
נברא,1
העולם.,1
וקד,0
עלמת,0
אן,0
אלוג'וד,0
פיה,0
קסמין,0
וג'וב,0
"ואמכאן,",0
ואן,0
אלוג'וד,0
אלג'סמאני,0
וג'ודה,0
בקסם,0
"אלאמכאן,",0
פקאל,0
אן,0
הד'א,0
אלוג'וד,0
חצל,0
וג'ודה,0
בבעץ',0
שי,0
והו,0
מעני,0
קולה,0
ביה,1
"שמו,",1
ודליל,0
ד'לך,0
כלה,0
אעני,0
אן,0
הד'ה,0
אלמוג'ודאת,0
אלד'י,0
וג'ודהא,0
מן,0
מאדה,0
וצורה,0
אנמא,0
סבב,0
וג'ודהא,0
ואעטאהא,0
אלצור,0
הי,0
חרכהֿ,0
"אלפלך,",0
קול,0
אלחכמים,0
"ז""ל",1
ערבות,1
שבו,1
צדק,1
וצדקה,1
ומשפט,1
וגנזי,1
חיים,1
וגנזי,1
שלום,1
וגנזי,1
ברכה,1
ונשמתן,1
של,1
צדיקים,1
ונשמות,1
ורוחות,1
שעתידין,1
להברות,1
וטל,1
שעתיד,1
"הקב""ה",1
להחיות,1
בו,1
מתים.,1
ואעתבר,0
הד'א,0
אלקול,0
אלמחכם,0
אעני,0
נץ,0
"אלתורה,",0
אנה,0
למא,0
אעלמך,0
מן,0
אלפיסוק,0
אלאול,0
אלד'י,0
קאל,0
רוכב,1
שמים,1
בעזרך,1
ובגאותו,1
שחקים,1
אלד'י,0
קד,0
באן,0
אן,0
מענאה,0
הנא,0
אלמסתולי,0
עלי,0
אלמוג'ודאת,0
כלהא,0
ומדבר,0
להא,0
וממד,0
להא,0
"אלבקא,",0
אלרוחאני,0
מנהא,0
ואלג'סמאני,0
אלבסיט,0
"ואלמרכב,",0
לאן,0
גאיהֿ,0
אלנץ,0
הו,0
אלאעלאם,0
ללאנסאן,0
אלד'י,0
לא,0
יחצל,0
אדראכה,0
אלא,0
בהד'א,0
אלמוג'וד,0
"אלמרכב,",0
ואיצ'א,0
אן,0
אלאנסאן,0
לא,0
יצל,0
אדראכה,0
אלי,0
תדביר,0
אללה,0
תע',0
להד'ה,0
אלמוג'ודאת,0
עלי,0
"אלחקיקה,",0
פלמא,0
אעלמך,0
אנה,0
תע',0
הו,0
אלמנצ'ם,0
אלמדבר,0
ללוג'וד,0
בחרכהֿ,0
אלמחיט,0
אתבעה,0
בפיסוק,1
אכ'ר,0
וקאל,0
מעונה,1
אלהי,1
"קדם,",1
ותרגומו,1
"מדור,",1
יעני,0
מחל,0
להד'ה,0
אלצורה,0
אלרוחאניה,0
אלצאדרה,0
מנה,0
"תע',",0
וחד'ף,0
תלך,0
אלוסאיט,0
וקצד,0
אלעלה,0
אלאולי.,0
ואעלם,0
אן,0
לה,0
תטלע,0
ואנתקאל,0
מן,0
דרג'ה,0
אלי,0
דרג'ה,0
עלי,0
כיפיהֿ,0
"אלתדריג',",0
וד'לך,0
אלתדריג',0
יכון,0
באלמוג'ודאת,0
אלד'י,0
אנחצרת,0
פי,0
ארבעה,0
"אקסאם,",0
אג'סאם,0
"מרכבה,",0
ואג'סאם,0
"בסיטה,",0
"ונפוס,",0
ועקול.,0
וג'עלת,0
הד'ה,0
אלאואנאת,0
ימים,1
טובים,1
"באזאיהא,",0
פענד,0
אן,0
אנתקל,0
אלאנסאן,0
מן,0
דרג'ה,0
אלי,0
דרג'ה,0
כאן,0
יום,1
טוב.,1
ואעתבר,0
קולהם,0
"ז""ל",1
בפסח,1
על,1
"התבואה,",1
פאול,0
מא,0
ינתקל,0
אלאנסאן,0
מן,0
אדראך,0
הד'ה,0
אלמדרכאת,0
אלחסיה,0
הו,0
אול,0
אנתקאל,0
והו,0
בתדריג',0
צורהא,0
"תלך,",0
אלתי,0
אלצור,0
הי,0
"אלגאיה,",0
כמת'ל,0
מא,0
אלגאיה,0
פי,0
אלנבאת,0
הי,0
אלגלה,0
והי,0
אלתי,0
סמאהא,0
תבואה.,1
ובעד,0
ד'לך,0
ינתקל,0
אלי,0
אנתקאל,0
אלאגסאם,0
אללטיפה,0
אלבסיטה,0
ואן,0
כאנה,0
אכמל,0
ואשרף,0
פמא,0
אלמקצוד,0
אלא,0
אדראך,0
"צורהא,",0
ואעתבר,0
קולהם,0
"ז""ל",1
פירות,1
"האילן,",1
לאנהא,0
צור,0
מחדה,0
"באג'סאם,",0
פאן,0
כד'לך,0
סמתהא,0
אלתורה,0
עץ,1
חיים,1
וקאל,0
ועץ,1
החיים,1
בתוך,1
"הגן,",1
ואלעץ,0
הו,0
אלאילן.,0
ובעד,0
ד'לך,0
ינתקל,0
עאלם,0
"אלנפס,",0
קאל,0
