word,is_he
אלג'ואב,0
אמא,0
אלד'י,0
אג'אז,0
אלדנו,0
בקברי,1
גוים,1
זיל,1
קרי,1
בי,1
רב,1
אמרינן,1
ליה,1
אי,0
פרק,0
בין,0
אלמית,0
ואלקבר,0
ונץ,0
אלתורה,0
וכל,1
אשר,1
יגע,1
על,1
פני,1
השדה,1
בחלל,1
חרב,1
או,1
במת,1
או,1
בעצם,1
אדם,1
או,1
בקבר,1
ופי,0
גזוהֿ,0
מדין,1
כל,1
הורג,1
נפש,1
וכל,1
נוגע,1
בחלל,1
והד'ה,0
נצוץ,0
לא,0
תחתמל,0
תאויל,0
בוג'ה,0
אנה,0
לא,0
פרק,0
בין,0
אלמתים,0
עצמן,1
או,1
קבריהם,1
פמנד',0
וג'דנא,0
נץ,0
אלתורה,0
פי,0
טומאת,1
הנוגע,1
במת,1
גוי,1
יטמא,1
כד'לך,0
נוגע,1
בקברו,1
וכלאהמא,0
יטמא,1
במגע,1
ובמשא,1
ולא,1
יטמאו,1
באהל,1
כמא,0
באן,0
פי,0
יבמות,1
וד'לך,0
לדברי,1
הכל,1
וליס,0
עלי,0
ד'לך,0
מכ'אלף,0
ודליל,0
ד'לך,0
קול,0
רבינא,1
דהו,1
בתרא,1
נהי,1
דאמעיטינהו,1
קרא,1
מאטמויי,1
באהל,1
ממגע,1
ובמשא,1
מי,1
מיעטינהו,1
קרא,1
ולו,0
כאן,0
כלאם,0
רבינא,1
עלי,0
ראי,0
ר',1
שמעון,1
פקט,0
לקאל,0
אמ',1
לך,1
ר',1
שמעון,1
נהי,1
דמיעטינהו,1
קרא,1
מאטמויי,1
באהל,1
או,0
כאן,0
יקול,0
נהי,1
דאמר,1
ר',1
שמעון,1
שאין,1
מטמאין,1
באהל,1
במגע,1
ובמשא,1
מי,1
אמ',1
פמנד',0
קאל,0
נהי,0
דמיעטינהו,0
קרא,0
דל,0
אן,0
ד'לך,0
קרא,1
לדברי,1
הכל,1
בלא,0
ריב,0
ואמא,0
קולהם,0
אשכח[יה],1
לאליהו,1
דקאי,1
בבית,1
הקברות,1
יעני,0
אנה,0
כאן,0
מאהיל,1
לא,1
נוגע,1
כמא,0
תבין,0
מן,0
כלאם,0
רבינא,1
ואמא,0
מא,0
ד'כרה,0
ר',1
אפרים,1
"ז""ל",1
אנה,0
וג'ד,0
פי,0
משנת,1
אהלות,1
פי,0
מדורת,1
גוים,1
מא,0
ידל,0
אן,0
קברי,1
גוים,1
אהל,1
פהו,0
והם,0
וליס,0
ת'ם,0
מא,0
ידל,0
עלי,0
ד'לך,0
בוג'ה,0
והד'א,0
הו,0
נץ,0
אלמשנה,0
הנאך,0
מדורות,1
הגוים,1
טמאים,1
כמה,1
ישהה,1
בתוכן,1
ויהי,1
צריך,1
בדיקה,1
ארבעים,1
יום,1
"אע""פ",1
שאין,1
עמו,1
אשה,1
וכו',1
את,1
מה,1
הן,1
בודקין,1
את,1
הביבין,1
העמוקים,1
ואת,1
המים,1
הסרוחים,1
וכו'.,1
ושרח,0
הד'ה,0
אלמשנה,0
אן,0
אלמואצ'ע,0
מן,0
ארץ,1
ישראל,1
אלתי,0
יסכנוהא,0
אלגוים,0
טמאים,1
מדרבנן,1
מת'ל,0
טומאת,1
אשה,1
של,1
חוצה,1
לארץ,1
ואלעלהֿ,0
ואחדהֿ,0
מן,0
אג'ל,0
אלמתים,0
אלד'ין,0
ידפנוא,0
הנאך,0
פמנד',0
יקטן,0
ארבעין,0
יומא,0
נקול,0
לעל,0
אסקטוא,0
סקיטא,0
ודפנוה,0
הנאך,0
ואכדוא,0
הד'ה,0
אלגזירה,0
חתי,0
לו,0
לם,0
תכון,0
אשה,0
אלתי,0
נתוקע,0
להא,0
אלאסקאט,0
מנד',0
סכן,0
ארבעין,0
יומא,0
צריך,1
בדיקה,1
כדי,1
שלא,1
נחלוק,1
במדורות,1
הגוים,1
ובין,0
לנא,0
אנה,0
אנמא,0
יבדוק,0
אלמואצ'ע,0
אלתי,0
ימכן,0
אן,0
רמי,0
פיהא,0
סקיטא,0
לא,0
ילזמה,0
אן,0
יחפר,0
אלארץ',0
כלהא,0
לאנה,0
לא,1
הוחזקה,1
שם,1
טומאה,1
ואנמא,0
הד'א,0
תוקע,0
הד'א,0
הו,0
אלנץ,0
אלד'י,0
הנאך,0
והד'א,0
שרחה,0
ואי,0
דליל,0
פי,0
כונהם,0
אחוג'וה,0
ללבדיקה,0
אן,0
קברי,1
גוים,1
מטמאין,1
באהל,1
וליס,0
פי,0
ד'לך,0
דליל,0
בוג'ה,0
בל,0
אלבדיקה,0
כי,0
לא,0
יכון,0
ת'ם,0
וכל,1
[אשר],1
יגע,1
בו,1
הנוגע.,1
