word,is_he
אלג'ואב,0
יג'וז,0
לישראל,1
אן,0
יכ'תן,0
אלגוי,0
אד'א,0
קצד,0
אלגוי,0
קטע,0
אלערלה,0
ואזאלתהא,0
לאן,0
אי,0
מצוה,1
עמלהא,0
אלגוי,0
נותנין,1
לו,1
עליה,1
שכר,1
לכן,0
אינו,1
כמו,1
שהוא,1
מצוה,1
ועושה,1
ואלשרט,0
אן,0
יעמלהא,0
והוא,0
(!),0
מצדק,0
לנבוהֿ,0
משה,1
רבי',1
אלאמר,0
בהא,0
מן,0
אללה,0
תעלי,0
(!),0
מעתקד,0
פי,0
ד'לך,0
לא,0
אן,0
יעמלהא,0
תבע,0
ללגיר,0
או,0
בחסב,0
ראי,0
ראי,0
לנפסה,0
כמא,0
תבין,0
פי,0
ברית',1
של,1
ר',1
אליעזר,1
בן,1
יעקב,1
וכמא,0
בינא,0
נחן,0
פי,0
אכ'ר,0
תאליפנא,0
אלכביר,0
ולמא,0
קאלת,0
אלבריתא,0
ישראל,1
מל,1
את,1
הגוי,1
לשם,1
גר,1
והד'א,0
בין,0
מעלום,0
אן,0
מן,0
נתגייר,0
יכ'תן,0
כאן,0
יקום,0
בבאלנא,0
אנהא,0
אנמא,0
קאלת,0
לשם,1
גר,1
למעוטי,1
מילת,1
הגוי,1
ואנה,0
לא,0
יג'וז,0
אן,0
יכ'תן,0
והו,0
יבקא,0
בגיותו,1
גוי,1
מהול,1
פלד'לך,0
בין,0
לנא,0
אלתלמוד,0
אן,0
ליס,0
מעני,0
לשם,1
גר,1
למעוטי,1
לשם,1
מילה,1
והו,0
גוי,1
אלא,1
למעוטי,1
מוראנה,1
יעני,0
אד'א,0
כאנת,0
בה,0
אכלהֿ,0
פי,0
ראס,0
אלערלה,0
פלא,0
יג'וז,0
לישראל,1
אן,0
יקטעהא,0
עלי,0
ג'ההֿ,0
אלטב,0
לה,0
ותכ'ליצה,0
ועלי,0
אן,0
פי,0
קטעהא,0
נחו,0
מא,0
מן,0
אלמצוה,0
אד',0
וליס,0
קצדה,0
אלמילה,0
ולא,0
יקצד,0
אלא,0
בראה,0
פקט,0
פלא,0
יג'וז,0
ד'לך,0
והד'א,0
אלחכם,0
מבני,0
עלי,0
אלאצל,0
אלמעלום,0
אנה,0
לא,0
יג'וז,0
תכ'ליץ,0
גוי,0
מן,0
אלהלאך,0
לקולהם,0
הגוים,1
והכותים,1
לא,1
מעלין,1
ולא,1
מורידין,1
והד'א,0
אלחכם,0
אנמא,0
ג'א,0
פי,0
קולה,0
תעלי,0
(!),0
ולא,1
תחנם,1
וליס,0
הו,0
במעני,0
אנה,0
לא,0
יג'וז,0
אן,0
יכ'תן,0
גוי,0
ולא,0
פרק,0
פי,0
ד'לך,0
בין,0
אלישמעאלי,0
ואל,0
נוצרי,0
וכלמא,0
ג'אנא,0
לנכ'תנה,0
לשם,1
מילה,1
ג'אז,0
לנא,0
כ'תאנתה,0
מע,0
כונה,0
באקיא,0
בגיותו.,0
