word,is_he
,0
ותורנו,0
הדרתה,0
איצ'א,0
הל,0
אד'א,0
כאן,0
אחד,1
מן,1
ישראל,1
לה,0
ואלדהֿ,0
וואלד,0
כאן,0
קד,0
תשוקוא,0
מראת,0
פי,0
חיאתהם,0
וענד,0
מא,0
מרצ'וא,0
מרצ'הֿ,0
אלמות,0
אן,0
יכונו,0
ידפנוא,0
פי,0
ארץ,1
ישראל,1
או,0
תחמל,0
עט'אמהם,0
אליהא,0
בעד,0
מותהם,0
ותקבר,0
פאעאן,0
אללה,0
אחד,0
אולאדהם,0
עלי,0
עט'ים,0
צ'עפה,0
ופאקתה,0
ואסתעאן,0
במן,0
חמלה,0
אלי,0
אלקדס,0
פאכ'ד',0
מעה,0
עט'אם,0
ואלדיה,0
ודפנהם,0
קריב,0
מן,0
אלקדס,0
אעליה,0
פי,0
אלשרע,0
אנכאר,0
והל,0
עמל,0
פי,0
ד'לך,0
חסנהֿ,0
אם,0
מעציהֿ.,0
תורנו,0
הדרתה,1
ושכרו,1
כפול.,1
