word,is_he
,0
פימא,0
יוג'בה,0
שרע,0
משה,1
רבנו,1
"ע""ה",1
פי,0
רג'ל,0
תכ'אצם,0
מע,0
זוג'תה,0
פעול,0
עלי,0
אלספר,0
פרכז,0
חמוה,0
עלי,0
באב,0
אלמדינהֿ,0
מן,0
חרסה,0
אלי,0
אן,0
אחצ'רה,0
הו,0
וקמאשה,0
אלד'י,0
אכ'ד'ה,0
צחבתה,0
אלי,0
מושב,1
בית,1
דין,1
ותג'דד,0
במושב,1
בית,1
דין,1
בינהם,0
כ'צאים,0
אוג'בת,0
אלפרקהֿ,0
בין,0
אלרג'ל,0
ובין,0
זוג'תה,0
פחלף,0
אלזוג',0
אן,0
לא,0
תכון,0
זוג'תה,0
בזוג'הֿ,0
לעולם,0
ואלתמס,0
טלאקהא,0
פאעלמה,0
בית,1
דין,1
אן,0
ילזמה,0
אלקיאם,0
במוכ'ר,0
זוג'תה,0
ומא,0
יתעיין,0
עליה,0
מן,0
נדוניתה,0
קבל,0
אלטלאק,0
פקאל,0
לה,0
אנני,0
לא,0
אמלך,0
אלא,0
מא,0
מעי,0
ומא,0
קד,0
תרכתה,0
פי,0
ביתי,0
מן,0
מאעון,0
ומפרוש,0
ומצאחף,0
פקאל,0
לה,0
בית,1
דין,1
לא,0
ימכנך,0
ימין,0
אלעדם,0
ויסדרו,1
לך,1
בית,1
דין,1
כבעל,1
חוב,1
אלא,0
ברצ'א,0
זוג'תך,0
בד'לך,0
פאנפד',0
בית,1
דין,1
אליהא,0
שאהדין,0
ואעלמוהא,0
מא,0
קאלה,0
בית,1
דין,1
פקאלת,0
להם,0
אלזוג'הֿ,0
קד,0
קנעת,0
נאכ'ד',0
מוג'ודה,0
אלחאצ'ר,0
ונסתחלפה,0
ימין,0
אלעדם,0
ואד'א,0
ט'הר,0
לה,0
מוג'וד,0
אכ'ד'תה,0
או,0
קסטת,0
עליה,0
פאקנאו,0
מנהא,0
עלי,0
ד'לך,0
וודיא,0
אלשאהדין,0
שהאדתהמא,0
ענד,0
בית,0
דין,0
חיניד',0
אסתחלף,0
בית,1
דין,1
בחצ'רהֿ,0
וכיל,0
אלזוג'הֿ,0
אלזוג',0
ימין,0
אלעדם,0
ואכ'רג',0
במושב,1
בית,1
דין,1
אלקמאש,0
אלד'י,0
כאן,0
מעה,0
פוג'דה,0
מצאחף,0
וכראריס,0
ות'יאב,0
ט'הרה,0
ללסבת,0
וללחול,0
פעול,0
בית,1
דין,1
עלי,0
אכ'ד',0
בעץ',0
כסות,0
אלסבת,0
ויבקי,0
עליה,0
בעצ'הא,0
פאכ'ד'ו,0
מנה,0
מא,0
קדרו,0
עלי,0
אכ'ד'ה,0
מנה,0
מע,0
מוג'ודה,0
אלד'י,0
פי,0
ביתה,0
וטלק,0
וכתב,0
עליה,0
אלזוג',0
באלמוכ'ר,0
ומא,0
תעיין,0
עליה,0
מן,0
אלשורהֿ,0
שטר,1
מוחזק,1
חוב,1
גמור,1
ומלוה,1
זקופה,1
ואלזוג',0
עדים,0
לא,0
ימלך,0
שי,0
אלבתהֿ,0
תפתינא,0
הדרתו,1
הקדושה,1
יהדרה,1
אל,1
הל,0
יכון,0
לשנת,1
השביעית,1
פי,0
ד'לך,0
פעל,0
ותשמט,0
אם,0
לא,0
והד'ה,0
אלזוג'הֿ,0
קד,0
תזוג'ת,0
לרג'ל,0
אכ'ר,0
פענד,0
מא,0
תחאסב,0
עלי,0
מא,0
אכ'ד'תה,0
מן,0
קמאש,0
אלמטלק,0
ומחאקקתהא,0
עליה,0
ואלימין,0
עלי,0
צחתה,0
ימנעהא,0
אלזוג',0
מן,0
ד'לך,0
אם,0
לא,0
כאשר,1
הראוה,1
מן,1
השמים,1
ושכרה,1
כפול.,1
