word,is_he
ולה,0
איצ'א,0
מרום,1
כשחר,1
נשקפה,1
שמשך,1
אל,1
כל,1
עין,1
צופה,1
את,1
עץ,1
שכל,1
פריו,1
מאכל,1
אכן,1
עלהו,1
לתרופה,1
ניבו<ת>,1
שכלך,1
נזלו,1
על,1
לב,1
כגשם,1
על,1
ארץ,1
עיפה,1
או<מנם,1
ני>בך,1
מרוב,1
שכל,1
כים,1
רחב,1
אין,1
לו,1
שפה,1
אך,1
זאת,1
קריה,1
היתה,1
קדם,1
ממעשי,1
הצדק,1
יפה,1
לא,1
נשאר,1
בה,1
בלתי,1
אישים,1
עב,1
נדבתם,1
לא,1
הרעיפה,1
תקצר,1
כל,1
לשון,1
לזכור,1
מעשיהם,1
גם,1
נאלמה,1
שפה,1
יד,1
כל,1
אנשי,1
עירך,1
צרה,1
ונדבות,1
אינה,1
מטיפה,1
מ<ג>אותם,1
לא,1
ידעו,1
כי,1
בלשוני,1
[ה]חרב,1
שלפה,1
לא,1
אשקוט,1
עד,1
אאכיל,1
כל,1
איש,1
לחם,1
גאוה,1
את<ו>,1
אפה,1
לא,1
יוכלו,1
הציל,1
את,1
נפשם,1
מיד,1
להבה,1
ושרפה,1
אך,1
אתה,1
לא,1
תדמה,1
להם,1
כי,1
איך,1
ידמה,1
שחר,1
עיפה,1
לולי,1
נשאי,1
את,1
פניך,1
היתה,1
נפשם,1
חיש,1
נגפה,1
ויעמד,1
פינחס,1
ויפלל,1
ותעצר,1
המגפה,1
