word,is_he
,0
אלמסאלה,0
אלכ'אמסהֿ,0
עשר.,0
מא,0
מעני,0
קול,0
רבנו,1
"ז""ל",1
אן,0
אלאנביא,0
יכ'אטבו,0
באלאסמא,0
"אלמשתרכה,",0
ובאסמא,0
ליס,0
אלקצד,0
בהא,0
מא,0
תדל,0
עליה,0
במת'אלהא,0
"אלאול,",0
בל,0
יד'כר,0
ד'לך,0
אלאסם,0
מן,0
אג'ל,0
אשתקאק,0
מא,0
כקולה,0
פי,0
אלמרכבה,0
"נחשת,",1
"וקלל,",1
ורגל,1
"עגל,",1
וחשמל.,1
אלג'ואב.,0
אעלם,0
אן,0
חשמל,1
לה,0
"אשתקאקין,",0
אשתקאק,0
מן,0
ג'ההֿ,0
אלתרכיב,0
אעני,0
תרכיב,0
אלאלפאט',0
והו,0
קולהם,0
חשמל,1
חש,1
"מל,",1
יעני,0
לפט'ה,0
מרכבה,0
מן,0
מענאיין,0
והמא,0
אלסרעה,0
"ואלקטע,",0
פאלסרעה,0
דליל,0
"חש,",1
ואלקטע,0
"מל,",1
ואסמע,0
מעני,0
הד'א,0
אלכלאם.,0
"אעלם,",0
אן,0
אלאסתקצאת,0
לא,0
תזאל,0
מעדה,0
"ללאסתעדאדאת,",0
ואלמפארק,0
מפיד,0
אלצור,0
עלי,0
אלדואם,0
"אלסרמדי,",0
פהד'א,0
מעני,0
אלסרעה,0
והו,0
"חש,",1
אעני,0
בכון,0
אלמפארק,0
מפיד,0
אלצור,0
עלי,0
אלדואם.,0
וקאלו,0
איצ'א,0
אן,0
אלצורה,0
אלאכ'ירה,0
מן,0
אלעקול,0
אלאבדאעיה,0
אלתי,0
הי,0
צורהֿ,0
אלעקל,0
אלפעאל,0
אלד'י,0
ד'אתה,0
ג'והר,0
צורי,0
מג'רד,0
ען,0
אלמאדה,0
לא,0
בתג'ריד,0
גירה,0
"איאה,",0
"פעאל,",0
ענדה,0
אנתהת,0
וג'וד,0
אלעקול,0
אלמפארקה,0
והו,0
מעני,0
אלקטע,0
והו,0
"מל,",1
פאפהם,0
ד'לך.,0
ואמא,0
קול,0
רבנו,1
"ז""ל",1
אן,0
אלאנביא,0
יכ'אטבו,0
באלאסמא,0
אלמשתרכה,0
ובאסמא,0
ליס,0
אלקצד,0
בהא,0
מא,0
תדל,0
עליה,0
במת'אלהא,0
אלאול,0
"וכו',",1
פאעלם,0
אן,0
אלאשתקאק,0
אלד'י,0
קד,0
בינא,0
הו,0
אשתקאק,0
"אללפט',",0
והו,0
ידל,0
עלי,0
צפהֿ,0
"אג'סאם,",0
לאן,0
אלסרעה,0
לאחקה,0
"ללחרכה,",0
ואלחרכה,0
ערץ',0
ללג'סם,0
אלמתחרך.,0
וכד'לך,0
אלקטע,0
הו,0
מן,0
מעני,0
"אלאנפצאל,",0
ואלאנפצאל,0
ואלאתצאל,0
תאבע,0
"ללג'סם,",0
פצח,0
אן,0
הד'ה,0
אלאסמא,0
ליס,0
תדל,0
עלי,0
חקיקהֿ,0
ד'לך,0
אלשי,0
אלמדרך,0
במראה,1
"הנבואה,",1
לאן,0
ד'לך,0
אלשי,0
אלמדרך,0
הו,0
עקל,0
רוחאני,0
לא,0
ישובה,0
שי,0
מן,0
לואחק,0
אלאג'סאם.,0
ואעלם,0
אן,0
הד'א,0
אלאסם,0
אלד'י,0
הו,0
לפט'הֿ,0
חשמל,1
פאנה,0
בקלב,0
חרוף,0
אללפט'ה,0
תשתק,0
מן,0
"מלחש,",1
וקד,0
עלמת,0
אן,0
לפט'הֿ,0
לחש,1
מן,0
מעני,0
"אלכ'פי,",0
והד'א,0
הו,0
אלד'י,0
אשאר,0
אליה,0
אלנבי,0
בקולה,0
קול,1
דממה,1
"דקה,",1
ותרגם,1
יונתן,1
בן,1
עזיאל,1
"ז""ל",1
קל,1
דמשבחין,1
"בחשאי,",1
אעלמך,0
באן,0
ת'ם,0
צור,0
מלכותיה,0
אלאהיה,0
קדוסיה,0
מסבחה,0
לה,0
"תע',",0
ולא,0
אסבאח,0
חקיקי,0
אלא,0
אלאדראך.,0
ולמא,0
כאן,0
אלתסביח,0
ענדנא,0
יא,0
אייה,0
אלבשריון,0
אנמא,0
הו,0
בנטק,0
אלשפה,0
"ואללסאן,",0
וד'לך,0
אלנטק,0
מן,0
תצור,0
"ד'הני,",0
לכן,0
למא,0
כאן,0
ענדנא,0
כ'רוג',0
מן,0
אלקוה,0
אלי,0
"אלפעל,",0
וכאן,0
ענדנא,0
אלמעני,0
ילוח,0
ת'ם,0
יכ'פי,0
מן,0
ג'ההֿ,0
קראן,0
אלמאדה,0
"ללצורה,",0
פג'עלת,0
אלאת,0
אלנטק,0
תכ'רג',0
ד'לך,0
אלמעני,0
מן,0
אלקוה,0
אלי,0
"אלפעל,",0
חתי,0
יכון,0
תצוורה,0
כ'ארג',0
אלד'הן,0
ודאכ'לה.,0
פאעלמך,0
אן,0
ת'ם,0
צור,0
רוחאניה,0
ליס,0
ענדהא,0
נטק,0
שפה,1
ולסאן,0
לאן,0
ליס,0
הי,0
"אג'סאם,",0
ולא,0
ענדהא,0
כ'רוג',0
מן,0
אלקוה,0
אלי,0
אלפעל,0
תאבעה,0
לנפס,0
אלאנסאן.,0
אמא,0
תלך,0
אלצור,0
אלרוחאניה,0
אלבריה,0
ען,0
אלמאדה,0
אלעריה,0
ען,0
אלג'סמאניה,0
ליס,0
ענדהא,0
אלא,0
אדראך,0
חקיקי,0
לא,0
לפט',0
"נטק,",0
קאל,0
אין,1
אומר,1
ואין,1
דברים,1
בלי,1
נשמע,1
קולם.,1
פאפהם,0
הד'א,0
איצ'א.,0
