word,is_he
,0
<הד'ה,0
אלש',0
אנפד'ת,0
אלי,0
רבנו,1
יצחק,1
"זק""ל",1
פלם,0
יכן,0
חאצ'ר,0
פאג'אב,0
ענהא,0
אד',0
משה,0
"זק""ל>",0
אלעבד,0
אלממלוך,0
יקבל,0
ידי,0
הדרת,1
יקרת,1
צפירת,1
תפארת,1
"כג""ק",1
מרנו,1
ורבינו,1
אלופינו,1
ומורנו,1
הודנו,1
והדרנו,1
עטרת,1
ראשינו,1
אור,1
שמשנו,1
יצחק,1
הדיין,1
הרב,1
המובהק,1
הפטיש,1
החזק,1
דגל,1
הרבנים,1
ירום,1
הודו,1
ויגדל,1
כבודו,1
למעלה,1
מעלה,1
בר,1
"כג""ק",1
מרנו,1
ורבנו,1
ששון,1
הדיין,1
הרב,1
המובהק,1
הפטיש,1
החזק,1
"זצו""ל",1
וינהי,0
אנה,0
קד,0
כאן,0
טלב,0
מני,0
שכ'ץ,0
שהאדהֿ,0
עלי,0
ואלדתה,0
אנהא,0
אוהבת,0
ולדה,0
אלטפל,0
דון,0
אלבלוג,0
קיראטין,0
הי,0
להא,0
פי,0
מלכהא,0
ובידהא,0
ותצרפהא,0
ואעלמנא,0
אנה,0
אנמא,0
ג'עלה,0
יפעל,0
ד'לך,0
כ'ופא,0
מן,0
אנסאן,0
קאם,0
עליהם,0
יריד,0
ישפע,0
עליהם,0
פי,0
ג'מלהֿ,0
אלמלך,0
אלד'י,0
מנה,0
הד'ה,0
אלקיראטין,0
וקאל,0
אנני,0
נעמל,0
הד'א,0
אלאמר,0
קינוניא,0
חתי,0
תבקי,0
הד'ה,0
אלקיראטין,0
מעאקהֿ,0
לטפל,0
דון,0
אלבלוג,0
חתי,0
יכבר,0
פרג',0
פאנה,0
לא,0
יקדר,0
ישפע,0
עלי,0
דון,0
אלבלוג,0
וכד'לך,0
ד'כרת,0
לנא,0
אלאמראהֿ,0
אלואהבהֿ,0
ואכ'תברנא,0
ד'לך,0
מנהמא,0
אנא,0
ואלשאהד,0
אלאכ'ר,0
אלד'י,0
כאן,0
מעי,0
ת'ם,0
אנהא,0
אקנת,0
מנהא,0
באבטאל,0
כל,0
מדע,0
(!),0
ותאויל,0
אנהא,0
אוהבת,0
הד'ה,0
אלקיראטין,0
ללטפל,0
אלצגיר,0
אבן,0
אבנהא,0
ולם,0
תשרט,0
הד'א,0
אלשרט,0
פי,0
וקת,0
אלקנין,0
אנהא,0
אנמא,0
תקני,0
מן,0
נפסהא,0
מן,0
אג'ל,0
אלשפעהֿ,0
בל,0
אקנת,0
מן,0
נפסהא,0
מעכשיו,1
בביטול,1
כל,1
מודעי,1
ותנאי,1
ואנמא,0
נחן,0
אלשהוד,0
עלמנא,0
באטן,0
אלקצ'יהֿ,0
מן,0
כלאהמא.,0
ג'מיעא,0
אלאמראהֿ,0
ואבנהא,0
פלמא,0
אקנת,0
מן,0
נפסהא,0
ומצ'ת,0
וצלת,0
אלי,0
אלבית,0
עאדת,0
אלי,0
עקלהא,0
ואנתבהת,0
ועלמת,0
אנהא,0
וחלת,0
פימא,0
פעלתה,0
פעאדת,0
אלינא,0
נחן,0
אלשהוד,0
וקאלת,0
לנא,0
אן,0
הד'ה,0
אלשהאדהֿ,0
אלד'י,0
אקניתו,0
מני,0
בהא,0
לא,0
תכתבו,0
כ'טוטכם,0
בהא,0
ולא,0
תשהדו,0
עלי,0
פקלנא,0
להא,0
הד'ה,0
שהאדהֿ,0
צארת,0
קבלנא,0
לא,0
נטיק,0
נכתמהא,0
לאנה,0
לו,0
ג'א,0
חתי,0
יטאלבנא,0
בהא,0
ענד,0
בית,0
דין,0
לם,0
נקדר,0
נכתמהא,0
ולא,0
נג'חדהא,0
ולו,0
שא,0
אחרם,0
עלי,0
כל,0
מן,0
יערף,0
זכות,1
להדא,0
אלטפל,0
ולם,0
יקר,0
בה,0
מא,0
אסתחלינא,0
נתעדא,0
עלי,0
אלחרם,0
פמצ'ת,0
וצאר,0
אלשכ'ץ,0
יטאלבנא,0
בכתאבהֿ,0
שטר,0
וכ'תם,0
כ'טוטנא,0
פיה,0
פלם,0
יזל,0
אלאמר,0
כד'לך,0
אלי,0
אן,0
וצלת,0
אלחצ'רהֿ,0
אלי,0
אלת'גר,0
וקת,0
אן,0
ג'בי,0
ללשבוים,0
פחצ'רנא,0
בין,0
ידיהא,0
ואעלמ[נא],0
הדרתה,0
באטן,0
אלקצהֿ,0
כיף,0
ג'רת,0
וקאלת,0
לנא,0
אן,0
הד'א,0
שטר,1
אמנה,1
לא,1
ניתן,1
להכתב,1
פלם,0
יקנע,0
בד'לך,0
בל,0
צאר,0
יטאלבנא,0
כל,0
וקת,0
באלשהאדהֿ,0
ואלאמראהֿ,0
איצ'א,0
אמתנעת,0
מן,0
אלתצרף,0
פי,0
הד'ה,0
אלקיראטין,0
והי,0
