word,is_he
.,0
ותורנו,0
פי,0
אנסאן,0
לה,0
ת'לת',0
דאר,0
ואוצא,0
בה,0
קבל,0
ממאתה,0
לזוג'תה,0
במא,0
יכ'צרה,0
מן,0
כתובה,1
ודין,0
כאן,0
להא,0
עליה,0
וג'עלהא,0
פי,0
ד'לך,0
נאמנת,1
ת'ם,0
תופא,0
ותרך,0
בנאת,0
צגאר,0
את'נתין,0
ת'ם,0
ג'הזת,0
אלאם,0
אלאבנהֿ,0
אלכבירהֿ,0
מן,0
אלת'לת',0
בת'לאת',0
קראריט,0
ת'ם,0
באעת,0
קיראטין,0
פאשתראתהם,0
מנהא,0
סלפתהא,0
[ת']ם,0
ג'הזת,0
אלאבנהֿ,0
אלאכ'רי,0
בת'לת',0
[קרא]ריט,0
אסתתמת,0
אלת'לת',0
ושרכתהם,0
[תג'מ]ע,0
(?),0
לרג'ל,0
מסלם,0
ת'ם,0
חצל,0
להם,0
פי,0
שרע,0
אלגוים,0
אלשפעהֿ,0
פי,0
אלת'לת'ין,0
אלד'י,0
ללגוי,0
ת'ם,0
חצל,0
פי,0
ד'לך,0
פאידהֿ,0
תורנו,0
הדרתו,1
הקדושה,1
מאהיהֿ,0
אלחכם,0
פי,0
תלך,0
אלפאידהֿ,0
והל,0
למשתריהֿ,0
אלקיראטין,0
שי,0
אם,1
לא,1
ואלשפעהֿ,0
מא,0
צדרת,0
אלא,0
מן,0
ג'ההֿ,0
אלבנאת,0
פקט,0
ושכרה,0
כפול,1
"מ""ה.",1
